"","GSM3359632","GSM3359633","GSM3359634","GSM3359635","GSM3359636","GSM3359637","GSM3359638","GSM3359639","GSM3359640","GSM3359641","GSM3359642","GSM3359643"
"ATP13A5",2.68220846271593,2.26390542713592,2.60452667937984,1.84638636000234,2.31282338325346,2.31050997524378,2.29815930331676,2.03942254835652,2.91081759288287,2.66980671626926,2.41855259977241,2.04632220420862
"H2AC20",4.17225134528145,4.43719837048702,4.12509065859714,3.8983841955328,4.62089655636835,4.72232361980172,4.69115113535938,4.41996441381923,4.39414940533571,4.171874112554,4.19288224633277,4.26041384165267
"WDFY4",6.52869231103889,6.15831421183773,6.06086825157545,6.08867868286002,6.13266040899055,6.39431765613739,6.29356072373576,5.51857087622313,6.00961179708029,5.20081717256936,4.09194277046822,5.5844922978109
"CLCN6",3.29244534572756,3.26419436232866,3.30334183145903,3.26604683451618,3.30452068371297,3.31746570405239,3.20994448005445,3.26319175933984,3.54521148851524,3.61391158681025,3.54609438371693,3.3109122798629
"SCAND1",7.20945678758129,7.09359073252609,7.19260488273532,7.24463385857242,7.28230977842665,7.13575249903654,7.69214019704074,7.24422922205498,7.31945340420044,7.57275753638503,8.05425775116101,7.49624496768269
"PNMA8A",2.09579334371318,1.92390447663456,2.32965349011054,1.81873152767212,1.79030524104473,1.96702695908566,2.24306247253591,1.97028069194145,2.65000749471064,2.80302120119064,1.84892342914442,2.03189534982347
"ZNF680",1.70856821144115,1.90466533202662,1.53016293656693,1.87412203512701,1.80943723107145,2.07324732927964,1.47678449615645,1.79712206852756,1.40715733174574,1.5757758649565,1.53269226744421,1.75592089836882
"DUX5",1.78067718838587,1.77077387282749,2.20214597206348,1.57939379141523,1.92775984667727,1.9562210018087,1.59868964395588,1.77936056551227,1.86844909509729,2.63128860750884,1.79509601720094,1.77077387282749
"MARK4",2.39260493094624,2.08594070987392,2.60868683129692,2.13992528450879,2.3322052560402,2.31931364377599,2.6132009868896,2.30957432111771,2.76488822147788,2.67071125451619,2.41185530020395,1.97964783455653
"GRK7",2.09471501850537,1.91803431188754,2.09857214013947,1.83558309822601,1.88295805091573,2.19059130186787,1.93456926917473,1.79244601478273,2.17219981009,1.88231470576292,2.04298186732343,1.79762233848192
"MOGAT2",2.97788967671351,2.57595137767923,2.90345123159484,2.46779727649315,2.68560838345082,2.81864853090867,2.58917644871214,2.48692017681144,3.28709529624494,3.18331471059116,2.82913743955241,2.73127535667419
"RTL8C",4.60824350657835,4.87246294534582,4.44112637481911,4.76942409156393,4.72447915571199,4.28635741211917,4.47526203812933,4.74770446547666,5.13444869290528,4.5310622071457,5.31374476026515,4.93889329036
"H2AC13",1.61074867896293,1.5373454451621,1.80408601256905,1.72735155475999,1.63945202089885,1.54361531797099,2.25510165240185,2.42758949209863,2.12507657837788,1.86922316719136,1.89889211455599,2.6269095454747
"WDCP",1.88605438491305,2.01642165295078,1.56150210303224,1.68912993497461,2.09369995967605,1.85986448777781,1.78346587819694,1.51619221655191,1.71869740762007,1.12265589806544,1.13389920301559,1.89918692995681
"NSUN5",4.1631306474881,4.07551529365016,4.27259384618085,4.66223906902193,4.37041419092298,4.45968394789205,5.01204511715317,4.22914892446259,3.94375986039233,4.73278735292794,5.05628254559525,4.48053688065156
"MAGI3",1.75560360064143,1.96188286124475,1.83439994458436,1.67684504363134,1.92316322937394,1.82249545274556,1.54836800415097,1.91801222615625,2.15911974940399,2.19520812488903,1.92882064149196,1.82835600461916
"RNASE8",2.25488382019434,1.86065427575392,2.25528741797999,1.55535430981625,1.74271852578261,1.77419034817272,1.94387530915814,1.66310511557017,2.22350091007022,2.01537763954214,1.88577877840734,1.57012930756153
"ACOXL",2.21290796174632,2.15163161884762,2.16437451524246,1.85007680014416,2.13366950066351,2.19949154005617,2.15231021025112,2.03213705383755,2.62256653943555,2.49319695852379,2.17450957138129,1.95569393083619
"VPS54",4.46348369280341,4.71249224372575,3.94368667311667,5.28002768845544,4.70487574772929,4.16551458617881,3.67300421084022,4.82003114172506,4.29825902115341,3.6282322906724,4.08241198623842,4.62893522156933
"PCDHA6",2.29394195027551,2.14510394488022,2.41195891494115,2.03373451641953,2.26388091097959,2.60651595095776,1.99019141000517,2.37906285077052,2.71008882870174,3.13073420129734,2.49116998237304,2.03373451641953
"PCDHA7",2.12246084233194,2.23305807647197,2.28893662155215,1.97160494639704,1.77834760808696,2.33955003791041,2.03436959250198,2.22517139217682,2.15538823890172,2.47144936898598,2.64163225171184,2.05649892016566
"SLC51B",2.41023366018787,2.19815916679081,2.49779357559153,2.1211204048738,2.51191447566726,2.24791222912556,2.42469582957773,2.42160721944431,2.88839560014429,2.42792603113918,2.2521267750634,2.29529966031828
"GRIP2",2.66016414956672,2.57936686684854,2.95499641336884,2.30160839248271,2.77126408611645,2.7902567058917,2.70210066946226,2.66929905744383,2.99405024452596,2.74363964569305,2.58740424472723,2.574150771083
"PARD6A",3.00068138230724,3.03523686041772,2.9453296875289,3.07982243316427,2.80240957273394,3.21318877824357,2.60553467720382,3.1083340153302,2.58979200128628,3.14164569722373,2.99458401289565,3.43345778225374
"RPL36",6.78634227824621,6.80003462333234,6.24573014454849,7.2014138772084,6.84225524167429,6.85876655036035,6.75717814890136,6.28747388603483,6.31519993212234,6.29827973355575,6.72564873898353,6.76676841499669
"SPATC1L",2.97164241970417,2.8589666047578,2.84668566649935,2.61037839154146,2.8842603602839,3.01692418976023,3.2737703512003,2.38858008533122,3.27569937233513,2.01760907541277,2.26876978389353,2.5197291025212
"UCN",2.48082849532657,2.216838853913,2.31669061035115,2.24115150957771,2.33793167342159,2.61435826566162,2.35348669306127,1.97994973086942,2.47675869689203,2.95189684659652,2.25018291873801,2.33434637500109
"UQCRHL",4.28419979299849,4.77378710389742,4.60689234155875,5.63424026998806,4.76981408892756,4.56612324300515,5.83140375654719,4.79101053305692,4.71161156096081,5.03353501652218,6.47429125150971,5.20392885156155
"PCDHGA12",2.21721032102002,2.14956550447174,2.5485077894038,1.99530262566847,2.3892505721939,2.58403264493262,2.27912024036963,2.39328596491903,2.53456329238237,2.41191337500696,2.32214955244072,2.35339392071371
"RPL9",9.10997944863807,9.27724679412612,8.20967459102416,9.43866101427631,8.99982223862757,9.05868909636751,8.9363637928086,8.39413075418618,8.06483995061961,8.09487299801087,9.11600109348747,8.82240885422994
"IFITM3",9.07496407201701,10.8271865025606,11.0211648107457,11.1258536393033,10.6639351327671,8.27280626850542,10.5179861330033,10.7347562408546,11.0763529641674,11.4778247226372,10.9013178197942,11.5378002151595
"ZNF184",3.09392738136569,4.22076930474782,3.25534524478678,3.2252609797924,3.09982198395558,3.12722559637738,1.81006014990845,3.15066184382485,2.63849091870253,1.77392501189127,2.27604120774894,3.03351835696737
"LCE1D",6.69734341376374,6.54516181200894,6.92161463853827,6.13392058463271,6.65224946386502,6.70243572044614,7.15001781687599,6.43437816819147,6.82510524380066,7.03492435669684,6.48219897163719,6.36184574131638
"LCE3D",4.31206794960137,3.89911558172545,4.49923793820606,3.90653227370629,4.30034158141027,4.12910559420017,4.60095788127335,3.94930398693357,4.71184448799543,4.03868640048787,4.42108133951854,3.89539919623194
"LCE1F",3.78808610725782,3.30237171308072,3.70209240992109,3.00716116691997,3.2940435920217,3.50641885698871,3.84924096414364,3.1534700186692,4.23451221291078,3.59194283835848,3.45205511855805,3.14741280799235
"LCE1A",4.73616490835087,4.5060426966818,4.64989507409763,3.81542915082787,4.40597315603917,4.60682447203006,4.66718290116166,4.21461149991676,5.14776438834681,4.91800599144285,4.20799199779907,4.39965062498444
"IGLL1",2.56904640594419,2.56904640594419,2.50541591067479,2.45719801294752,2.53411560194553,2.38862811934316,2.85651752844769,2.16806321253345,2.58873341243688,3.282028851501,2.47851386266517,2.55448159848384
"ADGRB1",4.52106859070327,4.5127275576374,4.64991870003235,4.07402233066122,4.39431544734753,4.48280589509405,5.17919601137445,3.99506888606214,5.09425349707502,4.93774851416122,4.49109887921507,4.0805384705711
"CRISP2",1.65912920126652,1.4726228878953,2.20214597206348,1.26702428521164,1.56752693041187,1.39227306679714,1.17451829792279,2.14916857918845,2.01568521443864,1.48066632566972,1.65814228788803,1.54366833290582
"KIAA0825",1.73544816031635,2.57570965385033,2.60646152409139,1.81976061561464,1.96675758930291,2.18816443671558,1.2699263224153,2.39371774025701,1.90261958649301,1.45791436419208,1.22667467916916,2.38312451564909
